,Product_Description,Brand,Rating_of_the_product,Product_Price
39,Analog Black Round Dial Men's Casual Watch-NL7930PP01 ,SF,4.2 out of 5 stars,352
40,Digital Men's Watch ,TIMEWEAR,3.5 out of 5 stars,273
41,Karishma Analog Silver Dial Women's Watch NM2598SM01/NN2598SM01 ,Titan,3.9 out of 5 stars,435
42,Fashion Fibre Analog Black Dial Women's Watch NM8992PP02/NN8992PP02 ,Sonata,3.7 out of 5 stars,599
43,Fastrack Casual Analog White Dial Men's Watch -NK3121SM01 ,SWADESI STUFF,3.0 out of 5 stars,699
44,Analogue Girl's Watch ( White Dial Multicolored Strap ) ,IIK COLLECTION,4.0 out of 5 stars,"1,745"
45,Round Dial Stainless Steel Bracelet Chain Analogue Day & Date Functioning Watch for Women and Girls ,Acnos,3.9 out of 5 stars,538
46,Analog Multi-Colour Dial Men's Watch - LR-COMBO-01-02-05 ,SYL,4.1 out of 5 stars,"1,295"
47,SYL  Latest ID116 Plus Better Quality Bluetooth Fitness Smart Watch for Men and Women Activity Tracker - (Black) ,Noise,3.7 out of 5 stars,189
48,"Noise ColorFit Pulse Smartwatch with 1.4"" Full Touch HD Display, SpO2, Heart Rate, Sleep Monitors & 10-Day Battery - Deep Wine ",STYLEDOSE,4.2 out of 5 stars,350
49,Branded Analogue Black Dial Magnet Watch with Gift Bracelet for Women or Girls and Watch for Girl or Women (Combo of 3) ,Fire-Boltt,4.2 out of 5 stars,355
50,"Fire-Boltt Ninja 2 SpO2 Full Touch Smartwatch with 30 Workout Modes, Heart Rate Tracking and 100+ Cloud Watch Faces, 7 Days of extensive Battery - (Rose Gold) ",SWADESI STUFF,4.2 out of 5 stars,569
51,"Digital Boy's Watch (Multicolored Dial, Multicolored Strap) ",realme,4.2 out of 5 stars,"2,499"
52,"realme Smart Watch S with 1.3 inch (3.3 cm) TFT-LCD Touchscreen, 15 Days Battery Life, SpO2 & Heart Rate Monitoring, IP68 Water Resistance, Black ",Shocknshop,4.5 out of 5 stars,299
53,"Outdoor Sports Digital Black Dial Mens Boys Watch (Black, Back) ",Sonata,3.4 out of 5 stars,"1,899"
54,Formal Analog Black Dial Men's Watch NM7924NM01/NN7924NM01 ,TIMEWEAR,3.7 out of 5 stars,259
